Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Day_Category
22629,DADAR TEN EX,DADAR,TIRUNELVELI JN,Sunday,Weekend
22630,TEN DR EXPRE,TIRUNELVELI JN,DADAR,Friday,Weekday
22631,MAS-BKN ANUR,CHENNAI CENTRAL,BIKANER JN.,Thursday,Weekday
22632,BKN-MAS  ANU,BIKANER JN.,CHENNAI CENTRAL,Monday,Weekday
22633,NIZAMUDDIN E,TRIVANDRUM CENTRAL,HAZRAT NIZAMUDDIN JN,Wednesday,Weekday
22634,NZM TVC SF E,HAZRAT NIZAMUDDIN JN,TRIVANDRUM CENTRAL,Sunday,Weekend
22635,MAQ INTERCIT,MADGOAN JN.,MANGALORE CENTRAL,Saturday,Weekend
22636,MAQ-MAO SF I,MANGALORE CENTRAL,MADGOAN JN.,Sunday,Weekend
22637,WEST COAST E,CHENNAI CENTRAL,MANGALORE CENTRAL,Monday,Weekday
22638,WEST COAST E,MANGALORE CENTRAL,CHENNAI CENTRAL,Friday,Weekday
22639,ALLEPPEY EXP,CHENNAI CENTRAL,ALLEPPEY,Friday,Weekday
22640,CHENNAI EXPR,ALLEPPEY,CHENNAI CENTRAL,Sunday,Weekend
22641,SHALIMAR EXP,TRIVANDRUM CENTRAL,SHALIMAR,Tuesday,Weekday
22642,SHM TVC SF E,SHALIMAR,TRIVANDRUM CENTRAL,Thursday,Weekday
22643,PATNA EXPRES,ERNAKULAM. JN,PATNA JN.,Saturday,Weekend
22644,PNBE ERS EXP,PATNA JN.,ERNAKULAM. JN,Friday,Weekday
22645,AHILYANAGARI,INDORE BG,TRIVANDRUM CENTRAL,Friday,Weekday
22646,AHILYANAGARI,TRIVANDRUM CENTRAL,INDORE BG,Monday,Weekday
22647,KRBA TVC EXP,KORBA,TRIVANDRUM CENTRAL,Saturday,Weekend
22648,TVC KRBA SF,TRIVANDRUM CENTRAL,KORBA,Friday,Weekday
22649,YERCAUD EXPR,CHENNAI CENTRAL,ERODE JN.,Wednesday,Weekday
22650,YERCAUD EXP,ERODE JN.,CHENNAI CENTRAL,Sunday,Weekend
22651,MAS-PGT  EXP,CHENNAI CENTRAL,PALAKKAD JN,Thursday,Weekday
22652,PGT-MAS SF E,PALAKKAD JN,CHENNAI CENTRAL,Friday,Weekday
22653,TVC-NZM WKLY,TRIVANDRUM CENTRAL,HAZRAT NIZAMUDDIN JN,Wednesday,Weekday
22654,NZM-TVC WKLY,HAZRAT NIZAMUDDIN JN,TRIVANDRUM CENTRAL,Saturday,Weekend
22655,TVC-NZM WKLY,TRIVANDRUM CENTRAL,HAZRAT NIZAMUDDIN JN,Thursday,Weekday
22656,NZM-TVC WKLY,HAZRAT NIZAMUDDIN JN,TRIVANDRUM CENTRAL,Tuesday,Weekday
22659,KCVL-DDN  EX,KOCHUVELI,DEHRA DUN,Saturday,Weekend
22660,DDN KCVL SUP,DEHRA DUN,KOCHUVELI,Friday,Weekday
22661,MS-RMM SUPER,CHENNAI EGMORE,RAMESWARAM,Thursday,Weekday
22662,RMM-MS SUPER,RAMESWARAM,CHENNAI EGMORE,Saturday,Weekend
22663,MS-JU WEEKLY,CHENNAI EGMORE,JODHPUR JN.,Thursday,Weekday
22664,JU-MS WEEKLY,JODHPUR JN.,CHENNAI EGMORE,Monday,Weekday
22667,NCJ-CBE SUPE,NAGERCOIL JN.,COIMBATORE JN.,Friday,Weekday
22668,CBE-NCJ SUPE,COIMBATORE JN.,NAGERCOIL JN.,Friday,Weekday
22669,TN-CBE LINK,TUTICORIN,VANCHI MANIYACHCHI JN,Friday,Weekday
22670,CBE-TN LINK,VANCHI MANIYACHCHI JN,TUTICORIN,Thursday,Weekday
22677,YPR-KCVL A/C,YESVANTPUR JN.,KOCHUVELI,Tuesday,Weekday
22678,KCVL-YPR A/C,KOCHUVELI,YESVANTPUR JN.,Sunday,Weekend
22679,YPR-HAS SUPE,YESVANTPUR JN.,HASSAN JN.,Saturday,Weekend
22680,HAS-YPR SUPE,HASSAN JN.,YESVANTPUR JN.,Thursday,Weekday
22681,MYS-MAS EXPR,MYSORE JN.,CHENNAI CENTRAL,Thursday,Weekday
22682,MAS-MYS EXPR,CHENNAI CENTRAL,MYSORE JN.,Wednesday,Weekday
22683,YPR-LKO WEEK,YESVANTPUR JN.,LUCKNOW JN.,Friday,Weekday
22684,LKO-YPR WEEK,LUCKNOW JN.,YESVANTPUR JN.,Monday,Weekday
22685,YPR-CDG BI-,YESVANTPUR JN.,CHANDIGARH,Wednesday,Weekday
22686,CDG-YPR BI W,CHANDIGARH,YESVANTPUR JN.,Monday,Weekday
22687,SRE-CDG LINK,SAHARANPUR JN.,CHANDIGARH,Saturday,Weekend
22688,CDG-MAS LINK,CHANDIGARH,SAHARANPUR JN.,Friday,Weekday
22691,BANGALORE RA,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),HAZRAT NIZAMUDDIN JN,Tuesday,Weekday
22692,BANGALORE RA,HAZRAT NIZAMUDDIN JN,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),Friday,Weekday
22697,UBL CHENNAI,HUBLI JN.,CHENNAI CENTRAL,Sunday,Weekend
22698,MAS- HUBLI E,CHENNAI CENTRAL,HUBLI JN.,Sunday,Weekend
22705,TPTY-JAT,TIRUPATI,JAMMU TAWI,Friday,Weekday
22706,JAT-TPTY,JAMMU TAWI,TIRUPATI,Monday,Weekday
22707,VSKP-TPTY WK,VISAKHAPATNAM,TIRUPATI,Thursday,Weekday
22708,TPTY-VSKP TR,TIRUPATI,VISAKHAPATNAM,Friday,Weekday
22801,VSKP MAS WEE,VISAKHAPATNAM,CHENNAI CENTRAL,Monday,Weekday
22803,HWH-SBP S/F,HOWRAH JN.,SAMBALPUR JN.,Wednesday,Weekday
22804,SBP-HWH S/F,SAMBALPUR JN.,HOWRAH JN.,Friday,Weekday
22805,BBS ANVT WEE,BHUBANESWAR,ANAND VIHAR TERMINAL,Wednesday,Weekday
22806,ANVT BBS WEE,ANAND VIHAR TERMINAL,BHUBANESWAR,Friday,Weekday
22807,SRC - MAS AC,SANTRAGACHI JN.,CHENNAI CENTRAL,Saturday,Weekend
22808,MAS - SRC AC,CHENNAI CENTRAL,SANTRAGACHI JN.,Tuesday,Weekday
22809,PRDP-VSKP WE,PARADEEP,VISAKHAPATNAM,Saturday,Weekend
22810,VSKP-PRDP WE,VISAKHAPATNAM,PARADEEP,Friday,Weekday
22811,BBS-NDLS RAJ,BHUBANESWAR,NEW DELHI,Friday,Weekday
22812,NDLS-BBS RAJ,NEW DELHI,BHUBANESWAR,Thursday,Weekday
22813,SRC-PRDP WEE,SANTRAGACHI JN.,PARADEEP,Sunday,Weekend
22814,PRDP-SRC WEE,PARADEEP,SANTRAGACHI JN.,Tuesday,Weekday
22815,BSP - ERS SF,BILASPUR JN.,ERNAKULAM. JN,Sunday,Weekend
22816,ERS - BSP SF,ERNAKULAM. JN,BILASPUR JN.,Tuesday,Weekday
22817,HWH-MYS SF E,HOWRAH JN.,MYSORE JN.,Wednesday,Weekday
22818,MYS - HWH SF,MYSORE JN.,HOWRAH JN.,Tuesday,Weekday
22819,BBS-VSKP SF,BHUBANESWAR,VISAKHAPATNAM,Monday,Weekday
22821,JHG-PRR BI-W,JHARGRAM,PURULIA JN.,Saturday,Weekend
22822,PRR-JGM EXPR,PURULIA JN.,JHARGRAM,Sunday,Weekend
22823,BBS-NDLS RAJ,BHUBANESWAR,NEW DELHI,Tuesday,Weekday
22824,NDLS-BBS RAJ,NEW DELHI,BHUBANESWAR,Sunday,Weekend
22825,SHM - MAS S/,SHALIMAR,CHENNAI CENTRAL,Saturday,Weekend
22826,MAS - SHM EX,CHENNAI CENTRAL,SHALIMAR,Wednesday,Weekday
22827,PURI-SURAT S,PURI,SURAT,Tuesday,Weekday
22828,SURAT-PURI S,SURAT,PURI,Friday,Weekday
22829,BVJ - SHM EX,NEW BHUJ,SHALIMAR,Tuesday,Weekday
22830,SHM-BVJ EXP,SHALIMAR,NEW BHUJ,Thursday,Weekday
22831,HWH-SRI SATY,HOWRAH JN.,SRI SATYA SAI PRASANTI NILAYAM,Friday,Weekday
22832,SRISATYASAIP,SRI SATYA SAI PRASANTI NILAYAM,HOWRAH JN.,Monday,Weekday
22833,BBS-KJM WEEK,BHUBANESWAR,KRISHNA RAJA PURAM,Monday,Weekday
22834,KJM-BBS WEEK,KRISHNA RAJA PURAM,BHUBANESWAR,Sunday,Weekend
22835,SHM-PURI S/F,SHALIMAR,PURI,Tuesday,Weekday
22836,PURI-SHM S/F,PURI,SHALIMAR,Wednesday,Weekday
22837,HTE ERS DHAR,HATIA,ERNAKULAM. JN,Friday,Weekday
22838,ERS HTE DHAR,ERNAKULAM. JN,HATIA,Saturday,Weekend
22839,ROU-BBS INTE,ROURKELA,BHUBANESWAR,Monday,Weekday
22840,BBS-ROU INTE,BHUBANESWAR,ROURKELA,Monday,Weekday
22843,BSP - PNBE S,BILASPUR JN.,PATNA JN.,Sunday,Weekend
22844,PNBE - BSP S,PATNA JN.,BILASPUR JN.,Tuesday,Weekday
22845,PUNE - HTE E,PUNE JN.,HATIA,Monday,Weekday
22846,HTE PUNE EXP,HATIA,PUNE JN.,Wednesday,Weekday
22847,VSKP-LTT S/F,VISAKHAPATNAM,LOKMANYA TILAK TERMINUS,Monday,Weekday
22848,LTT-VSKP S/F,LOKMANYA TILAK TERMINUS,VISAKHAPATNAM,Saturday,Weekend
22849,SHM - SC S/F,SHALIMAR,SECUNDERABAD JN.,Thursday,Weekday
22850,SC-SHM SF EX,SECUNDERABAD JN.,SHALIMAR,Wednesday,Weekday
22851,SRC - MAQ SF,SANTRAGACHI JN.,MANGALORE CENTRAL,Friday,Weekday
22852,MAQ - SRC SF,MANGALORE CENTRAL,SANTRAGACHI JN.,Monday,Weekday
22853,SHM - VSKP W,SHALIMAR,VISAKHAPATNAM,Thursday,Weekday
22854,VSKP-SHM WEK,VISAKHAPATNAM,SHALIMAR,Sunday,Weekend
22855,SRC - TPTY W,SANTRAGACHI JN.,TIRUPATI,Sunday,Weekend
22856,TPTY-SRC,TIRUPATI,SANTRAGACHI JN.,Wednesday,Weekday
22857,SRC ANVT WEE,SANTRAGACHI JN.,ANAND VIHAR TERMINAL,Saturday,Weekend
22858,ANVT SRC WEK,ANAND VIHAR TERMINAL,SANTRAGACHI JN.,Wednesday,Weekday
22859,PURI-MAS S/F,PURI,CHENNAI CENTRAL,Saturday,Weekend
22860,MAS-PURI S/F,CHENNAI CENTRAL,PURI,Tuesday,Weekday
22861,SHM-ADRA RAJ,SHALIMAR,ADRA,Friday,Weekday
22862,SHM-ADRA RAJ,ADRA,SHALIMAR,Wednesday,Weekday
22863,HWH-YPR WEEK,HOWRAH JN.,YESVANTPUR JN.,Monday,Weekday
22864,YPR-HWH AC E,YESVANTPUR JN.,HOWRAH JN.,Sunday,Weekend
22865,LTT-PURI S/F,LOKMANYA TILAK TERMINUS,PURI,Wednesday,Weekday
22866,PURI-LTT S/F,PURI,LOKMANYA TILAK TERMINUS,Tuesday,Weekday
22867,DURG-NZM HUM,DURG,HAZRAT NIZAMUDDIN JN,Thursday,Weekday
22868,NZM-DURG HUM,HAZRAT NIZAMUDDIN JN,DURG,Friday,Weekday
22869,VSKP-MAS S/F,VISAKHAPATNAM,CHENNAI CENTRAL,Thursday,Weekday
22870,MAS-VSKP S/F,CHENNAI CENTRAL,VISAKHAPATNAM,Thursday,Weekday
22871,BBS-TPTY S/F,BHUBANESWAR,TIRUPATI,Friday,Weekday
22872,TPTY-BBS S/F,TIRUPATI,BHUBANESWAR,Thursday,Weekday
22873,DGHA-VSKP S/,DIGHA FS,VISAKHAPATNAM,Sunday,Weekend
22874,VSKP-DGHA S/,VISAKHAPATNAM,DIGHA FS,Thursday,Weekday
22875,KGP-PRR EXPR,KHARAGPUR,PURULIA JN.,Saturday,Weekend
22876,PRR-KGP EXPR,PURULIA JN.,KHARAGPUR,Monday,Weekday
22877,HWH-ERS ANTY,HOWRAH JN.,ERNAKULAM. JN,Saturday,Weekend
22878,ERS-HWH ANTY,ERNAKULAM. JN,HOWRAH JN.,Friday,Weekday
22879,BBS-TPTY S/F,BHUBANESWAR,TIRUPATI,Wednesday,Weekday
22880,TPTY-BBS S/F,TIRUPATI,BHUBANESWAR,Sunday,Weekend
22881,PUNE-BBS S/F,PUNE JN.,BHUBANESWAR,Saturday,Weekend
22882,BBS-PUNE S/F,BHUBANESWAR,PUNE JN.,Wednesday,Weekday
22883,PURI-YPR GAR,PURI,YESVANTPUR JN.,Sunday,Weekend
22884,YPR-PURI GAR,YESVANTPUR JN.,PURI,Sunday,Weekend
22885,LTT-TATA ANT,LOKMANYA TILAK TERMINUS,TATANAGAR JN,Thursday,Weekday
22886,TATA-LTT ANT,TATANAGAR JN,LOKMANYA TILAK TERMINUS,Monday,Weekday
22887,HWH-YPR-HWH,HOWRAH JN.,YESVANTPUR JN.,Wednesday,Weekday
22888,YPR-HWH HUMS,YESVANTPUR JN.,HOWRAH JN.,Wednesday,Weekday
22889,DGHA-PURI S/,DIGHA FS,PURI,Wednesday,Weekday
22890,PURI-DGHA S/,PURI,DIGHA FS,Thursday,Weekday
22891,HWH-RNC INTE,HOWRAH JN.,RANCHI,Sunday,Weekend
22892,RNCHWH INTER,RANCHI,HOWRAH JN.,Wednesday,Weekday
22893,SNSI-HWH EXP,SAI NAGAR SHIRDI,HOWRAH JN.,Friday,Weekday
22894,HWH-SNSI EXP,HOWRAH JN.,SAI NAGAR SHIRDI,Monday,Weekday
22897,HWH-DGHA KAN,HOWRAH JN.,DIGHA FS,Sunday,Weekend
22898,DGHA -HWHKAN,DIGHA FS,HOWRAH JN.,Friday,Weekday
22901,BDTS UDZ AII,BANDRA TERMINUS,UDAIPUR CITY,Thursday,Weekday
22902,UDZ BDTS SUP,UDAIPUR CITY,BANDRA TERMINUS,Friday,Weekday
22903,BHUJ AC S F,BANDRA TERMINUS,NEW BHUJ,Wednesday,Weekday
22904,BDTS AC S F,NEW BHUJ,BANDRA TERMINUS,Sunday,Weekend
22905,OKHA-HAPA LI,OKHA,HAPA,Monday,Weekday
22906,HAPA-OKHA LI,HAPA,OKHA,Monday,Weekday
22907,MAO HAPA SUP,MADGOAN JN.,HAPA,Wednesday,Weekday
22908,HAPA MADGAON,HAPA,MADGOAN JN.,Thursday,Weekday
22909,BL  PURI S F,VALSAD,PURI,Wednesday,Weekday
22910,PURI VALSAD,PURI,VALSAD,Saturday,Weekend
22911,SHIPRA EXPRE,INDORE BG,HOWRAH JN.,Monday,Weekday
22912,SHIPRA EXP,HOWRAH JN.,INDORE BG,Sunday,Weekend
22914,PATNA BDTS H,PATNA JN.,BANDRA TERMINUS,Saturday,Weekend
22915,BDTS HSR SF,BANDRA TERMINUS,HISAR JN,Thursday,Weekday
22916,HSR BDTS S F,HISAR JN,BANDRA TERMINUS,Thursday,Weekday
22917,HARIDWAR EXP,BANDRA TERMINUS,HARIDWAR JN,Tuesday,Weekday
22918,HW BDTS SF E,HARIDWAR JN,BANDRA TERMINUS,Sunday,Weekend
22919,CHENNAI ADI,CHENNAI CENTRAL,AHMEDABAD,Tuesday,Weekday
22920,ADI CHENNAI,AHMEDABAD,CHENNAI CENTRAL,Thursday,Weekday
22925,UMB - KLK LI,AMBALA CANTT JN,KALKA,Saturday,Weekend
22926,KLK - UMB LI,KALKA,AMBALA CANTT JN,Friday,Weekday
22927,LOK SHAKTI E,BANDRA TERMINUS,AHMEDABAD,Thursday,Weekday
22928,LOK SHAKTI E,AHMEDABAD,BANDRA TERMINUS,Friday,Weekday
22929,BLD BRC EXP,BHILAD,VADODARA JN.,Wednesday,Weekday
22930,BRC BLD EXP,VADODARA JN.,BHILAD,Saturday,Weekend
22931,BDTS JSM EXP,BANDRA TERMINUS,JAISALMER,Monday,Weekday
22932,JSM BDTS SF,JAISALMER,BANDRA TERMINUS,Sunday,Weekend
22933,BDTS JP SF E,BANDRA TERMINUS,JAIPUR JN.,Tuesday,Weekday
22934,JP BDTS SF E,JAIPUR JN.,BANDRA TERMINUS,Saturday,Weekend
22935,BDTS PIT  SF,BANDRA TERMINUS,PALITANA,Wednesday,Weekday
22936,PIT BDTS SF,PALITANA,BANDRA TERMINUS,Friday,Weekday
22937,RAJKOT REWA,RAJKOT,REWA,Saturday,Weekend
22938,REWA RJT SUP,REWA,RAJKOT,Friday,Weekday
22939,HAPA BSP EXP,HAPA,BILASPUR JN.,Monday,Weekday
22940,BSP HAPA EXP,BILASPUR JN.,HAPA,Saturday,Weekend
22941,INDB JAT SF,INDORE BG,JAMMU TAWI,Saturday,Weekend
22942,JAT INDB SF,JAMMU TAWI,INDORE BG,Saturday,Weekend
22943,PUNE INDORE,PUNE JN.,INDORE BG,Sunday,Weekend
22944,IND PUNE EXP,INDORE BG,PUNE JN.,Sunday,Weekend
22945,SAURASHTRA M,MUMBAI CENTRAL,OKHA,Thursday,Weekday
22946,SAURASHTRA M,OKHA,MUMBAI CENTRAL,Thursday,Weekday
22949,BDTS DEE EXP,BANDRA TERMINUS,DELHI-SARAI ROHILLA,Tuesday,Weekday
22951,GANDHIDHAM E,BANDRA TERMINUS,GANDHIDHAM JN.,Friday,Weekday
22952,BANDRA T EXP,GANDHIDHAM JN.,BANDRA TERMINUS,Friday,Weekday
22953,GUJARAT EXPR,MUMBAI CENTRAL,AHMEDABAD,Wednesday,Weekday
22954,GUJARAT EXPR,AHMEDABAD,MUMBAI CENTRAL,Monday,Weekday
22955,KUTCH EXPRES,BANDRA TERMINUS,NEW BHUJ,Saturday,Weekend
22956,KUTCH EXPRES,NEW BHUJ,BANDRA TERMINUS,Wednesday,Weekday
22957,SOMNATH EXPR,AHMEDABAD,VERAVAL,Tuesday,Weekday
22959,JAMNAGAR INT,SURAT,JAMNAGAR,Thursday,Weekday
22960,SURAT INTERC,JAMNAGAR,SURAT,Tuesday,Weekday
22961,HAPA INTERCI,SURAT,HAPA,Wednesday,Weekday
22962,SURAT INTERC,HAPA,SURAT,Wednesday,Weekday
22963,BDTS BVC SF,BANDRA TERMINUS,BHAVNAGAR TERMINUS,Sunday,Weekend
22964,BVC BDTS SF,BHAVNAGAR TERMINUS,BANDRA TERMINUS,Thursday,Weekday
22965,BDTS BGKT EX,BANDRA TERMINUS,BHAGAT-KI-KOTHI,Friday,Weekday
22966,BGKT BDTS SF,BHAGAT-KI-KOTHI,BANDRA TERMINUS,Tuesday,Weekday
22967,ADI ALD EXPR,AHMEDABAD,ALLAHABAD JN.,Saturday,Weekend
22968,ALD ADI  SF,ALLAHABAD JN.,AHMEDABAD,Sunday,Weekend
22969,OKHA BSB EXP,OKHA,VARANASI JN.,Saturday,Weekend
22970,BSB OKHA SF,VARANASI JN.,OKHA,Friday,Weekday
22971,BDTS PATNA S,BANDRA TERMINUS,PATNA JN.,Wednesday,Weekday
22972,PNBE BDTS SF,PATNA JN.,BANDRA TERMINUS,Friday,Weekday
22973,GIMB PURI SF,GANDHIDHAM JN.,PURI,Friday,Weekday
22974,PURI GIMB EX,PURI,GANDHIDHAM JN.,Friday,Weekday
22981,KOTA-HMH SUP,KOTA,SHRI GANGANAGAR,Wednesday,Weekday
22982,KOTA-HMH -KO,SHRI GANGANAGAR,KOTA,Saturday,Weekend
22983,KOTA-INDB IN,KOTA,INDORE BG,Friday,Weekday
22989,BDTS MHV WEE,BANDRA TERMINUS,MAHUVA,Thursday,Weekday
22990,MHV BDTS SF,MAHUVA,BANDRA TERMINUS,Sunday,Weekend
22991,BDTS VRL SF,BANDRA TERMINUS,VERAVAL,Monday,Weekday
22992,VRL BDTS SF,VERAVAL,BANDRA TERMINUS,Sunday,Weekend
22993,BDTS MHV SF,BANDRA TERMINUS,MAHUVA,Thursday,Weekday
22994,MHV BDTS SF,MAHUVA,BANDRA TERMINUS,Thursday,Weekday
22995,BDTS - AII,CHITTAURGARH JN,AJMER JN.,Friday,Weekday
22996,AII-BDTS SUF,AJMER JN.,CHITTAURGARH JN,Monday,Weekday
23141,TEESTA TORSH,RANINAGAR JALPAIGURI,HALDIBARI,Monday,Weekday
23142,TEESTA TORSH,HALDIBARI,RANINAGAR JALPAIGURI,Wednesday,Weekday
23225,SHC-BJU EXPR,SAHARSA JN.,BARAUNI JN.,Thursday,Weekday
23226,BJU - SHC EX,BARAUNI JN.,SAHARSA JN.,Friday,Weekday
23345,BSB-SKTN LIN,CHOPAN,SHAKTINAGAR,Friday,Weekday
23346,SKTN-BSB LIN,SHAKTINAGAR,CHOPAN,Tuesday,Weekday
23347,SGRL-PNBE LI,SINGRAULI,GARWA ROAD JN.,Friday,Weekday
23348,RJPB-SGRL LI,GARWA ROAD JN.,SINGRAULI,Thursday,Weekday
24041,NBD-KTW EXPR,NAJIBABAD JN.,KOTDWARA,Friday,Weekday
24042,KTW-NBD,KOTDWARA,NAJIBABAD JN.,Saturday,Weekend
24227,VARUNA EXPRE,VARANASI JN.,KANPUR CENTRAL JN.,Saturday,Weekend
24228,VARUNA EXPRE,KANPUR CENTRAL JN.,VARANASI JN.,Thursday,Weekday
24369,TRIVENI EXPR,SHAKTINAGAR,BAREILLY JN.,Friday,Weekday
24370,TRIVENI EXP,BAREILLY JN.,SHAKTINAGAR,Wednesday,Weekday
24887,HW-UMB LINK,HARIDWAR JN,AMBALA CANTT JN,Sunday,Weekend
24888,UMB-HW  LINK,AMBALA CANTT JN,HARIDWAR JN,Sunday,Weekend
25013,CORBETT PARK,MORADABAD JN.,RAMNAGAR,Saturday,Weekend
25014,CORBETT PARK,RAMNAGAR,MORADABAD JN.,Monday,Weekday
25035,RAMNAGAR-DLI,MORADABAD JN.,RAMNAGAR,Friday,Weekday
25036,RAMNAGAR-DLI,RAMNAGAR,MORADABAD JN.,Monday,Weekday
25201,SGL-NKE INTE,SAGAULI JN.,NARKATIAGANJ JN.,Wednesday,Weekday
25202,NKE-SGL INTE,NARKATIAGANJ JN.,SAGAULI JN.,Monday,Weekday
25631,BKN - GHY EX,BIKANER JN.,MERTA ROAD JN.,Thursday,Weekday
25632,GHY - BKN EX,MERTA ROAD JN.,BIKANER JN.,Monday,Weekday
25657,KUNCHAN JUNG,SEALDAH,SILCHAR,Sunday,Weekend
25658,KUNCHAN JUNG,SILCHAR,SEALDAH,Saturday,Weekend
28181,BJU-KIR EXP,BARAUNI JN.,KATIHAR JN.,Saturday,Weekend
28182,KIR BJU EXPR,KATIHAR JN.,BARAUNI JN.,Sunday,Weekend
29019,NMH - KOTA E,MANDSOR,KOTA,Sunday,Weekend
29020,KOTA - MDS E,KOTA,MANDSOR,Thursday,Weekday
30111,BLN- BP  LOC,BALLYGUNGE JN.,BARRACKPORE,Friday,Weekday
30112,BP - MJT LOC,BARRACKPORE,MAJERHAT,Saturday,Weekend
30116,BP-BBDB LOCA,BARRACKPORE,BENOY BADAL DINESH BAG,Sunday,Weekend
30121,MJT-NH LOCAL,NEW ALIPUR (CALCUTTA),NAIHATI JN.,Saturday,Weekend
30122,NH - MJT LOC,NAIHATI JN.,BALLYGUNGE JN.,Saturday,Weekend
30123,MJT - NH LOC,MAJERHAT,NAIHATI JN.,Thursday,Weekday
30128,KLYM - MJT L,KALYANI SIMANTA,NEW ALIPUR (CALCUTTA),Friday,Weekday
30135,MJT-RHA LOCA,MAJERHAT,RANAGHAT JN.,Monday,Weekday
30142,GEDE - MJT L,GEDE,MAJERHAT,Sunday,Weekend
30145,BBD-KNJ,BENOY BADAL DINESH BAG,KRISHNA NAGAR CITY JN.,Wednesday,Weekday
30152,NH - MJT LOC,NAIHATI JN.,MAJERHAT,Monday,Weekday
30154,NH - MJT LOC,NAIHATI JN.,MAJERHAT,Tuesday,Weekday
30211,BBDB - DDJ L,BENOY BADAL DINESH BAG,DUM DUM JN.,Friday,Weekday
30311,PPGT - BT LO,PRINCEP GHAT,BARASAT JN.,Wednesday,Weekday
30312,BT -PPGT LOC,BARASAT JN.,MAJERHAT,Friday,Weekday
30313,MJT-BT LOCAL,MAJERHAT,BARASAT JN.,Friday,Weekday
30314,DTK-MJT LOCA,DATTAPUKUR,MAJERHAT,Saturday,Weekend
30317,MJT-DTK LOCA,MAJERHAT,DATTAPUKUR,Monday,Weekday
30321,MJT - HNB LO,MAJERHAT,HASANABAD,Wednesday,Weekday
30322,HNB-BBDB LOC,HASANABAD,BENOY BADAL DINESH BAG,Wednesday,Weekday
30324,HNB-PPGT LOC,HASANABAD,PRINCEP GHAT,Saturday,Weekend
30331,MJT- HB LOCA,MAJERHAT,HABRA,Friday,Weekday
30332,HB - MJT LOC,HABRA,MAJERHAT,Sunday,Weekend
30333,MJT-HB  LOCA,MAJERHAT,HABRA,Saturday,Weekend
30342,BNJ - MJT LO,BANGAON JN.,MAJERHAT,Friday,Weekday
30344,BNJ - MJT LO,BANGAON JN.,MAJERHAT,Friday,Weekday
30346,BNJ-BBD LOCA,BANGAON JN.,MAJERHAT,Wednesday,Weekday
30351,MJT - BT LOC,MAJERHAT,BARASAT JN.,Monday,Weekday
30353,MJT-DTK LOCA,MAJERHAT,DATTAPUKUR,Thursday,Weekday
30357,MJT-MMG LOCA,MAJERHAT,MADHYAM GRAM,Wednesday,Weekday
30358,MMG-MJT LOCA,MADHYAM GRAM,MAJERHAT,Sunday,Weekend
30361,MJT - HNB LO,MAJERHAT,HASANABAD,Sunday,Weekend
30411,BBDB - SDAH,BENOY BADAL DINESH BAG,SEALDAH,Monday,Weekday
30412,SDAH - BBDB,SEALDAH,BENOY BADAL DINESH BAG,Tuesday,Weekday
30413,BBDB - SDAH,BENOY BADAL DINESH BAG,SEALDAH,Tuesday,Weekday
30414,SDAH - BBDB,SEALDAH,BENOY BADAL DINESH BAG,Sunday,Weekend
30416,SDAH - BBDB,SEALDAH,BENOY BADAL DINESH BAG,Sunday,Weekend
30451,KOAA-SDAH LO,BENOY BADAL DINESH BAG,SEALDAH,Sunday,Weekend
30452,SDAH-KOAA LO,SEALDAH,KOLKATA,Friday,Weekday
30511,CHT - MJT LO,CHAMPAHATI,MAJERHAT,Saturday,Weekend
30552,MJT - GOF LO,MAJERHAT,GHUTIARI SHARIF,Friday,Weekday
30612,BBDB - BRP L,KOLKATA,BARUIPUR JN.,Monday,Weekday
30711,LKPR - MJT L,LAKSHMIKANTAPUR,MAJERHAT,Wednesday,Weekday
30712,MJT - LKPR,MAJERHAT,LAKSHMIKANTAPUR,Friday,Weekday
31051,BGB-BP LOCAL,BUDGE BUDGE,NAIHATI JN.,Monday,Weekday
31053,BGB-NH LOCAL,BUDGE BUDGE,NAIHATI JN.,Thursday,Weekday
31055,BGB-NH LOCAL,BUDGE BUDGE,NAIHATI JN.,Friday,Weekday
31111,SDAH-KWAE LO,SEALDAH,KATWA JN.,Thursday,Weekday
31112,KWAE-SDAH LO,KATWA JN.,SEALDAH,Tuesday,Weekday
31151,SDAH - BWN L,SEALDAH,BARDDHAMAN JN.,Monday,Weekday
31152,BWN-SDAH LOC,BARDDHAMAN JN.,SEALDAH,Thursday,Weekday
31191,NH-KLYM LOCA,NAIHATI JN.,KALYANI SIMANTA,Wednesday,Weekday
31192,KLYM - NH LO,KALYANI SIMANTA,NAIHATI JN.,Monday,Weekday
31211,SDAH-BP LOCA,SEALDAH,BARRACKPORE,Sunday,Weekend
31212,BP-SDAH LOCA,BARRACKPORE,SEALDAH,Sunday,Weekend
31213,SDAH-BP LOCA,SEALDAH,BARRACKPORE,Sunday,Weekend
31214,BP-SDAH LOCA,BARRACKPORE,SEALDAH,Wednesday,Weekday
31215,SDAH-BP LOCA,SEALDAH,BARRACKPORE,Wednesday,Weekday
31216,BP-SDAH LOCA,BARRACKPORE,SEALDAH,Wednesday,Weekday
31217,SDAH - BP LO,SEALDAH,BARRACKPORE,Saturday,Weekend
