Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days
98087,PL 77,CST-MUMBAI,PANVEL,Saturday
98089,PL 79,CST-MUMBAI,PANVEL,Monday
98091,PL 81,CST-MUMBAI,PANVEL,Sunday
98093,PL83,CST-MUMBAI,PANVEL,Wednesday
98095,PL85,CST-MUMBAI,PANVEL,Wednesday
98097,PL87,CST-MUMBAI,PANVEL,Sunday
98099,PL89,CST-MUMBAI,PANVEL,Friday
98101,PL91,CST-MUMBAI,PANVEL,Sunday
98105,PL 93,CST-MUMBAI,PANVEL,Wednesday
98107,PL 95,CST-MUMBAI,PANVEL,Tuesday
98109,PL 97,CST-MUMBAI,PANVEL,Thursday
98111,PL 99,CST-MUMBAI,PANVEL,Tuesday
98113,PL 101,CST-MUMBAI,PANVEL,Tuesday
98115,PL 103,CST-MUMBAI,PANVEL,Wednesday
98117,PL 105,CST-MUMBAI,PANVEL,Friday
98119,PL 107,CST-MUMBAI,PANVEL,Sunday
98121,PL 109,CST-MUMBAI,PANVEL,Thursday
98123,PL 111,CST-MUMBAI,PANVEL,Wednesday
98125,PL113,CST-MUMBAI,PANVEL,Saturday
98127,PL115,CST-MUMBAI,PANVEL,Sunday
98129,PL117,CST-MUMBAI,PANVEL,Thursday
98131,PL119,CST-MUMBAI,PANVEL,Thursday
98135,PL121,CST-MUMBAI,PANVEL,Friday
98137,PL123,CST-MUMBAI,PANVEL,Friday
98139,PL125,CST-MUMBAI,PANVEL,Tuesday
98141,PL127,CST-MUMBAI,PANVEL,Friday
98145,PL129,CST-MUMBAI,PANVEL,Friday
98147,PL131,CST-MUMBAI,PANVEL,Sunday
98151,PL 133,CST-MUMBAI,PANVEL,Thursday
98153,PL 135,CST-MUMBAI,PANVEL,Tuesday
98155,PL 137,CST-MUMBAI,PANVEL,Thursday
98157,PL139,CST-MUMBAI,PANVEL,Saturday
98159,PL141,CST-MUMBAI,PANVEL,Tuesday
98161,PL143,CST-MUMBAI,PANVEL,Friday
98163,PL145,CST-MUMBAI,PANVEL,Tuesday
98165,PL147,CST-MUMBAI,PANVEL,Wednesday
98169,PL149,CST-MUMBAI,PANVEL,Friday
98171,PL151,CST-MUMBAI,PANVEL,Wednesday
98175,PL153,CST-MUMBAI,PANVEL,Tuesday
98179,PL155,CST-MUMBAI,PANVEL,Saturday
